Rolling Stock,Lines,Length,Width,Height,Platform Height,Door Count (per side),Door Width,Count
R44,SIR,74.71,10,12.08,3.76,8 (4),4.17,61
R46,A/C/N/W/Q/S,74.71,10,12.08,3.76,8 (4),4.17,748
R62,3,51.04,8.6,11.89,3.65,6 (3),4.17,315
R62A,1/6/S,51.04,8.6,11.89,3.65,6 (3),4.17,824
R68,B/D/N/W/Q/S,74.71,10,12.08,3.76,8 (4),4.17,425
R68A,A/B/N/W,74.71,10,12.08,3.76,8 (4),4.17,200
R142,2/4/5,51.33,8.6,11.89,3.65,6 (3),4.5,1025
R142A,4,51.33,8.6,11.89,3.65,6 (3),4.5,220
R143,L,60.21,9.77,12.13,3.76,8 (4),4.17,212
R160,J/Z/L/M/E/F/G/R,60.21,9.77,12.13,3.76,8 (4),4.17,1662
R188,7,51.33,8.6,11.89,3.65,6 (3),4.5,506
R179,A/C/J/Z/S,60.5,9.88,11.14,3.73,8 (4),4.17,318
R211A,Not yet in service,60.21,10,12,3.76,8 (4),4.83,0
